year,code,sex,population,deployment,tagID,divenum,maxdep,durwho,bzsounds,kindet,sc,NLmax
2009,2009_34,M,NRKW,oo09_234a,244,98,4.202220019,19.2,0,0,0,97.01613126
2009,2009_34,M,NRKW,oo09_234a,244,100,3.607693391,16.8,0,0,0,98.63203901
2009,2009_34,M,NRKW,oo09_234a,244,101,4.203413756,26.2,0,0,0,100.5302507
2009,2009_34,M,NRKW,oo09_234a,244,102,15.1108627,128,0,0,1,105.7457498
2009,2009_34,M,NRKW,oo09_234a,244,104,31.81283092,87.8,0,0,1,105.9414962
2009,2009_34,M,NRKW,oo09_234a,244,105,2.964846701,16.2,0,0,1,105.6355754
2009,2009_34,M,NRKW,oo09_234a,244,109,28.31952733,164.6,0,0,1,104.0040605
2009,2009_34,M,NRKW,oo09_234a,244,110,3.218256083,18.6,0,0,1,103.7288163
2009,2009_34,M,NRKW,oo09_234a,244,113,19.116427,136,0,0,0,102.2547383
2009,2009_34,M,NRKW,oo09_234a,244,114,5.393956952,28,0,0,0,101.8838884
2009,2009_34,M,NRKW,oo09_234a,244,115,5.395732675,46.8,0,0,0,104.0914212
2009,2009_34,M,NRKW,oo09_234a,244,117,4.370046772,31,0,0,0,103.7608452
2009,2009_34,M,NRKW,oo09_234a,244,118,14.38558924,146,0,0,0,110.8520848
2009,2009_34,M,NRKW,oo09_234a,244,122,3.773991316,21,0,0,0,106.2866403
2009,2009_34,M,NRKW,oo09_234a,244,124,5.137841871,23.8,0,0,0,109.0477094
2009,2009_34,M,NRKW,oo09_234a,244,127,4.882706439,65.4,0,0,1,110.7554568
2009,2009_34,M,NRKW,oo09_234a,244,133,5.097288157,26.4,0,0,0,106.6772985
2009,2009_34,M,NRKW,oo09_234a,244,142,15.49341846,123.6,0,0,1,114.9449163
2009,2009_34,M,NRKW,oo09_234a,244,146,9.274924652,56,0,0,1,112.655689
2009,2009_34,M,NRKW,oo09_234a,244,150,39.57173244,215.6,0,0,1,105.6638615
2009,2009_34,M,NRKW,oo09_234a,244,155,18.95040032,124,0,0,0,111.5418009
2009,2009_34,M,NRKW,oo09_234a,244,158,5.230498706,26,0,0,0,108.2629085
2009,2009_34,M,NRKW,oo09_234a,244,159,4.972161425,27.6,0,0,1,108.5263598
2009,2009_34,M,NRKW,oo09_234a,244,160,5.100133638,26.6,0,0,0,108.0317807
2009,2009_34,M,NRKW,oo09_234a,244,162,22.40244106,147.8,0,0,1,111.2752875
2009,2009_34,M,NRKW,oo09_234a,244,165,17.58448256,82.6,0,0,0,105.8627552
2009,2009_34,M,NRKW,oo09_234a,244,168,4.460013266,19.6,0,0,0,106.354047
2009,2009_34,M,NRKW,oo09_234a,244,171,10.97656289,159,0,0,0,108.330923
2009,2009_34,M,NRKW,oo09_234a,244,180,34.97380599,76.4,0,0,1,96.84408733
2009,2009_34,M,NRKW,oo09_234a,244,184,31.08814601,38,0,0,0,102.4887517
2009,2009_34,M,NRKW,oo09_234a,244,189,9.357471385,36,0,0,0,109.3599298
2009,2009_34,M,NRKW,oo09_234a,244,193,14.21731399,21,0,0,0,106.4787379
2009,2009_34,M,NRKW,oo09_234a,244,194,4.161573826,37.4,0,0,1,108.4248804
2009,2009_34,M,NRKW,oo09_234a,244,197,6.631853666,13.2,0,0,1,109.2789395
2009,2009_34,M,NRKW,oo09_234a,244,198,12.98041874,72.6,0,0,0,112.0019425
2009,2009_34,M,NRKW,oo09_234a,244,200,5.95079292,27.8,0,0,0,110.9024765
2009,2009_34,M,NRKW,oo09_234a,244,201,5.904216008,29.8,0,0,0,110.9700739
2009,2009_34,M,NRKW,oo09_234a,244,204,26.06329106,93.8,0,0,0,115.5107526
2009,2009_34,M,NRKW,oo09_234a,244,208,17.32692749,102.4,0,0,1,117.1791616
2009,2009_34,M,NRKW,oo09_234a,244,212,4.754158289,25.2,0,0,0,115.9541164
2009,2009_34,M,NRKW,oo09_234a,244,214,5.393112327,32.8,0,0,0,111.3514626
2009,2009_34,M,NRKW,oo09_234a,244,222,40.71875656,106.2,0,0,1,104.0075723
2009,2009_34,M,NRKW,oo09_234a,244,228,7.351100654,69.4,0,0,1,102.1856476
2009,2009_34,M,NRKW,oo09_234a,244,233,46.28931355,92.6,0,0,1,95.59317045
2009,2009_34,M,NRKW,oo09_234a,244,234,4.149268998,19,0,0,1,94.81258698
2009,2009_34,M,NRKW,oo09_234a,244,242,11.80972427,85.2,0,0,1,94.91228619
2009,2009_34,M,NRKW,oo09_234a,244,245,8.312387933,49.8,0,0,1,95.48798895
2009,2009_34,M,NRKW,oo09_234a,244,248,53.78087123,82.8,0,0,1,95.94171732
2009,2009_34,M,NRKW,oo09_234a,244,251,6.443205637,50.2,0,0,1,96.67780494
2009,2009_34,M,NRKW,oo09_234a,244,254,226.0756019,290.2,0,1,0,98.66372878
2009,2009_34,M,NRKW,oo09_234a,244,264,17.50297693,103.2,0,0,1,94.6413401
2009,2009_34,M,NRKW,oo09_234a,244,266,3.77815759,16,0,0,1,95.05344089
2009,2009_34,M,NRKW,oo09_234a,244,271,143.3505398,278.2,0,1,1,95.46817725
2009,2009_34,M,NRKW,oo09_234a,244,287,82.1281663,145.2,0,1,1,103.8265222
2009,2009_34,M,NRKW,oo09_234a,244,290,101.6922405,154,0,1,1,94.54780654
2009,2009_34,M,NRKW,oo09_234a,244,291,20.39937944,45,0,0,1,94.21063372
2009,2009_34,M,NRKW,oo09_234a,244,313,83.6244544,131.8,0,0,1,97.87031336
2009,2009_34,M,NRKW,oo09_234a,244,326,8.806801155,19.8,0,0,0,95.03345226
2009,2009_34,M,NRKW,oo09_234a,244,332,4.375035688,9.8,0,0,0,94.19424037
2009,2009_34,M,NRKW,oo09_234a,244,346,179.2965369,285,0,1,1,97.41305619
2009,2009_34,F,NRKW,oo09_235a,243,14,3.900687623,16.2,0,0,0,93.93783696
2009,2009_34,F,NRKW,oo09_235a,243,15,136.0568597,286.2,0,1,1,100.1315935
2009,2009_34,F,NRKW,oo09_235a,243,20,2.472394357,9.8,0,0,0,93.89401451
2009,2009_34,F,NRKW,oo09_235a,243,22,3.103768795,10.4,0,0,0,94.53656049
